research_window_id,research_window_alias,requested_start,actual_start,actual_portfolio_start,end,window_role,data_quality_contract,exact_or_proxy,strategy_id,candidate_family,selection_rank,qqq_weight,sgov_weight,tqqq_weight,qqq_equivalent_exposure,cash_defensive_ratio,leveraged_asset_ratio,max_single_asset_weight,risk_bucket,annual_return,terminal_value,volatility_daily,annual_volatility,max_drawdown_daily_equity,sharpe_daily_zero_rf,calmar_daily_equity_dd,worst_1d_return,worst_5d_return,worst_20d_return,turnover,cost,net_annual_return
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.0_TQQQ0.9,second_layer_v2_static_frontier,12,0.1,0.0,0.9,2.8,0.0,0.9,0.9,,0.246358,3.233821,0.039298,0.623844,-0.786715,0.394904,0.313148,-0.169874,-0.315053,-0.407373,2.101571,0.0,0.246358
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.1_TQQQ0.8,second_layer_v2_static_frontier,13,0.1,0.1,0.8,2.5,0.1,0.8,0.8,,0.241589,3.168419,0.034856,0.553323,-0.738033,0.436615,0.327342,-0.149639,-0.281923,-0.365972,3.427424,0.0,0.241589
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.2_TQQQ0.7,second_layer_v2_static_frontier,14,0.1,0.2,0.7,2.2,0.2,0.7,0.7,,0.231977,3.039866,0.030497,0.484128,-0.681599,0.479164,0.340342,-0.12995,-0.248646,-0.32399,4.386709,0.0,0.231977
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.3_TQQQ0.6,second_layer_v2_static_frontier,15,0.1,0.3,0.6,1.9,0.3,0.6,0.6,,0.217718,2.856998,0.026209,0.416054,-0.616787,0.523294,0.352988,-0.110785,-0.215221,-0.281453,4.985918,0.0,0.217718
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.4_TQQQ0.5,second_layer_v2_static_frontier,16,0.1,0.4,0.5,1.6,0.4,0.5,0.5,,0.19903,2.630962,0.02198,0.348918,-0.543014,0.570421,0.366529,-0.092122,-0.181646,-0.238387,5.228449,0.0,0.19903
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.5_TQQQ0.4,second_layer_v2_static_frontier,17,0.1,0.5,0.4,1.3,0.5,0.4,0.5,,0.176152,2.374242,0.0178,0.282561,-0.459763,0.623411,0.383136,-0.075243,-0.148615,-0.194812,5.114428,0.0,0.176152
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.6_TQQQ0.3,second_layer_v2_static_frontier,18,0.1,0.6,0.3,1.0,0.6,0.3,0.6,,0.149339,2.099669,0.01366,0.216839,-0.366604,0.688709,0.407359,-0.058357,-0.115927,-0.150751,4.656439,0.0,0.149339
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.7_TQQQ0.2,second_layer_v2_static_frontier,19,0.1,0.7,0.2,0.7,0.7,0.2,0.7,,0.118866,1.81952,0.009551,0.151622,-0.265056,0.783963,0.448458,-0.041106,-0.082272,-0.106223,3.978031,0.0,0.118866
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.8_TQQQ0.1,second_layer_v2_static_frontier,20,0.1,0.8,0.1,0.4,0.8,0.1,0.8,,0.08502,1.544761,0.005468,0.086798,-0.153664,0.979515,0.553286,-0.023477,-0.047606,-0.061249,2.950753,0.0,0.08502
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.1_SGOV0.9_TQQQ0.0,second_layer_v2_static_frontier,21,0.1,0.9,0.0,0.1,0.9,0.0,0.9,,0.048101,1.284506,0.001411,0.022395,-0.035576,2.147844,1.352072,-0.005706,-0.011883,-0.015844,1.54824,0.0,0.048101
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.0_TQQQ0.8,second_layer_v2_static_frontier,22,0.2,0.0,0.8,2.6,0.0,0.8,0.8,,0.245776,3.225782,0.036405,0.577917,-0.754585,0.425279,0.32571,-0.157007,-0.293612,-0.380766,2.954148,0.0,0.245776
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.1_TQQQ0.7,second_layer_v2_static_frontier,23,0.2,0.1,0.7,2.3,0.1,0.7,0.7,,0.237739,3.116408,0.032015,0.50822,-0.700645,0.467787,0.339315,-0.137132,-0.260386,-0.338981,3.974139,0.0,0.237739
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.2_TQQQ0.6,second_layer_v2_static_frontier,24,0.2,0.2,0.6,2.0,0.2,0.6,0.6,,0.224975,2.948916,0.0277,0.439716,-0.638498,0.511637,0.35235,-0.117788,-0.227012,-0.296632,4.631934,0.0,0.224975
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.3_TQQQ0.5,second_layer_v2_static_frontier,25,0.2,0.3,0.5,1.7,0.3,0.5,0.5,,0.207696,2.733897,0.023447,0.372216,-0.567543,0.557999,0.365957,-0.098955,-0.19349,-0.253745,4.932582,0.0,0.207696
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.4_TQQQ0.4,second_layer_v2_static_frontier,26,0.2,0.4,0.4,1.4,0.4,0.4,0.4,,0.186134,2.483626,0.019248,0.305552,-0.487234,0.609173,0.382022,-0.080611,-0.159818,-0.210343,4.87683,0.0,0.186134
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.5_TQQQ0.3,second_layer_v2_static_frontier,27,0.2,0.5,0.3,1.1,0.5,0.3,0.5,,0.160541,2.211058,0.015092,0.239576,-0.397108,0.670106,0.404276,-0.063636,-0.126774,-0.166447,4.469986,0.0,0.160541
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.6_TQQQ0.2,second_layer_v2_static_frontier,28,0.2,0.6,0.2,0.8,0.6,0.2,0.6,,0.131186,1.928871,0.010971,0.174156,-0.298076,0.753271,0.44011,-0.046505,-0.093447,-0.122077,3.915183,0.0,0.131186
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.7_TQQQ0.1,second_layer_v2_static_frontier,29,0.2,0.7,0.1,0.5,0.7,0.1,0.7,,0.098353,1.648652,0.006878,0.109179,-0.189696,0.900843,0.518478,-0.028999,-0.059124,-0.077254,3.127513,0.0,0.098353
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.2_SGOV0.8_TQQQ0.0,second_layer_v2_static_frontier,30,0.2,0.8,0.0,0.2,0.8,0.0,0.8,,0.062339,1.380273,0.002812,0.044636,-0.071628,1.396611,0.870312,-0.011772,-0.02376,-0.031996,1.972843,0.0,0.062339
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.0_TQQQ0.7,second_layer_v2_static_frontier,31,0.3,0.0,0.7,2.4,0.0,0.7,0.7,,0.24299,3.187515,0.033545,0.532512,-0.7189,0.456308,0.338002,-0.144377,-0.272108,-0.353906,3.560843,0.0,0.24299
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.1_TQQQ0.6,second_layer_v2_static_frontier,32,0.3,0.1,0.6,2.1,0.1,0.6,0.6,,0.231752,3.036909,0.029201,0.463555,-0.659374,0.499946,0.351473,-0.124853,-0.238786,-0.311748,4.27805,0.0,0.231752
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.2_TQQQ0.5,second_layer_v2_static_frontier,33,0.3,0.2,0.5,1.8,0.2,0.5,0.5,,0.215915,2.834522,0.024925,0.395668,-0.5912,0.545697,0.365214,-0.105845,-0.205315,-0.269043,4.636113,0.0,0.215915
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.3_TQQQ0.4,second_layer_v2_static_frontier,34,0.3,0.3,0.4,1.5,0.3,0.4,0.4,,0.195704,2.592303,0.020705,0.328679,-0.513809,0.595427,0.380889,-0.087334,-0.171695,-0.225816,4.638419,0.0,0.195704
