research_window_id,research_window_alias,requested_start,actual_start,actual_portfolio_start,end,window_role,data_quality_contract,exact_or_proxy,probe_id,role,date_start,date_end,model_id,annual_return,max_drawdown_daily_equity,sharpe,calmar,turnover,net_of_cost_return,worst_5d_return,realized_volatility,tqqq_max_weight,tqqq_avg_weight,tqqq_exposure,qqq_equivalent_exposure,target_vs_actual_gap,tqqq_return_contribution_sum,actual_path_metric_complete,target_path_metrics_used_for_pass,research_only,actual_path_required,target_path_metrics_role,promotion_allowed,paper_shadow_allowed,production_allowed,broker_action,production_effect,manual_review_required,dynamic_promotion_status
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,defensive_overlay_probe,defensive_overlay,2023-02-22,2026-03-27,first_layer_composer_v2,0.141507,-0.075779,1.675215,1.867376,42.475942,0.141507,-0.036379,0.084471,0.0,0.0,0.0,0.470013,0.0,0.0,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,balanced_dynamic_probe,balanced_dynamic,2023-02-22,2026-03-27,first_layer_composer_v2,0.156015,-0.082585,1.538574,1.889144,63.377405,0.156015,-0.04256,0.101402,0.1,0.028764,0.1,0.548044,0.0,0.054329,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,drawdown_control_probe,drawdown_control,2023-02-22,2026-03-27,first_layer_composer_v2,0.149733,-0.105862,1.293105,1.414416,121.263419,0.149733,-0.055709,0.115793,0.15,0.025676,0.15,0.524582,0.0,0.054486,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,no_tqqq_return_seeking_probe,no_tqqq_return_seeking,2023-02-22,2026-03-27,first_layer_composer_v2,0.157383,-0.08125,1.566851,1.937024,68.365037,0.157383,-0.03809,0.100445,0.0,0.0,0.0,0.553732,0.0,0.0,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,low_tqqq_balanced_growth_probe,low_tqqq_balanced_growth,2023-02-22,2026-03-27,first_layer_composer_v2,0.168447,-0.091762,1.496121,1.835697,68.55005,0.168447,-0.046928,0.112589,0.1,0.028764,0.1,0.611261,0.0,0.054329,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,qqq_heavy_growth_probe,qqq_heavy_growth,2023-02-22,2026-03-27,first_layer_composer_v2,0.175281,-0.105244,1.507099,1.665466,63.802076,0.175281,-0.048547,0.116303,0.0,0.0,0.0,0.645174,0.0,0.0,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,capped_risk_on_diagnostic_probe,capped_risk_on_diagnostic,2023-02-22,2026-03-27,first_layer_composer_v2,0.179356,-0.104986,1.431218,1.70838,68.823795,0.179356,-0.055739,0.125317,0.2,0.057529,0.2,0.66879,0.0,0.108659,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,asymmetric_risk_on_slow_confirm_probe,asymmetric_risk_on_slow_confirm,2023-02-22,2026-03-27,first_layer_composer_v2,0.157059,-0.085623,1.515897,1.834293,55.176868,0.157059,-0.03784,0.103608,0.05,0.01834,0.05,0.567696,0.0,0.029237,True,False,True,True,diagnostic_only,False,False,False,none,none,True,BLOCKED
