covered_member_count,date,index_id,member_count,member_day_coverage_ratio,missing_price_count,missing_price_ratio
101,2024-06-28,$NDX,101,1.0,0,0.0
101,2024-07-01,$NDX,101,1.0,0,0.0
101,2024-07-02,$NDX,101,1.0,0,0.0
101,2024-07-03,$NDX,101,1.0,0,0.0
101,2024-07-05,$NDX,101,1.0,0,0.0
101,2024-07-08,$NDX,101,1.0,0,0.0
101,2024-07-09,$NDX,101,1.0,0,0.0
101,2024-07-10,$NDX,101,1.0,0,0.0
101,2024-07-11,$NDX,101,1.0,0,0.0
101,2024-07-12,$NDX,101,1.0,0,0.0
101,2024-07-15,$NDX,101,1.0,0,0.0
101,2024-07-16,$NDX,101,1.0,0,0.0
101,2024-07-17,$NDX,101,1.0,0,0.0
101,2024-07-18,$NDX,101,1.0,0,0.0
101,2024-07-19,$NDX,101,1.0,0,0.0
101,2024-07-22,$NDX,101,1.0,0,0.0
101,2024-07-23,$NDX,101,1.0,0,0.0
101,2024-07-24,$NDX,101,1.0,0,0.0
101,2024-07-25,$NDX,101,1.0,0,0.0
101,2024-07-26,$NDX,101,1.0,0,0.0
101,2024-07-29,$NDX,101,1.0,0,0.0
101,2024-07-30,$NDX,101,1.0,0,0.0
101,2024-07-31,$NDX,101,1.0,0,0.0
101,2024-08-01,$NDX,101,1.0,0,0.0
101,2024-08-02,$NDX,101,1.0,0,0.0
101,2024-08-05,$NDX,101,1.0,0,0.0
101,2024-08-06,$NDX,101,1.0,0,0.0
101,2024-08-07,$NDX,101,1.0,0,0.0
101,2024-08-08,$NDX,101,1.0,0,0.0
101,2024-08-09,$NDX,101,1.0,0,0.0
101,2024-08-12,$NDX,101,1.0,0,0.0
101,2024-08-13,$NDX,101,1.0,0,0.0
101,2024-08-14,$NDX,101,1.0,0,0.0
101,2024-08-15,$NDX,101,1.0,0,0.0
101,2024-08-16,$NDX,101,1.0,0,0.0
101,2024-08-19,$NDX,101,1.0,0,0.0
101,2024-08-20,$NDX,101,1.0,0,0.0
101,2024-08-21,$NDX,101,1.0,0,0.0
101,2024-08-22,$NDX,101,1.0,0,0.0
101,2024-08-23,$NDX,101,1.0,0,0.0
101,2024-08-26,$NDX,101,1.0,0,0.0
101,2024-08-27,$NDX,101,1.0,0,0.0
101,2024-08-28,$NDX,101,1.0,0,0.0
101,2024-08-29,$NDX,101,1.0,0,0.0
101,2024-08-30,$NDX,101,1.0,0,0.0
101,2024-09-03,$NDX,101,1.0,0,0.0
101,2024-09-04,$NDX,101,1.0,0,0.0
101,2024-09-05,$NDX,101,1.0,0,0.0
