20d_positive_return_ratio,60d_positive_return_ratio,above_200d_ma_ratio,above_50d_ma_ratio,date,equal_weight_member_20d_return,equal_weight_member_60d_return,equal_weight_minus_qqq_20d,equal_weight_minus_qqq_60d,index_id,median_member_20d_return,median_member_60d_return,outperform_qqq_20d_ratio,outperform_qqq_60d_ratio,qqq_20d_return,qqq_60d_return,warning
,,,,2024-08-05,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
,,,,2024-11-06,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
,,,,2025-04-07,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
,,,,2025-08-01,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
,,,,2026-01-02,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
,,,,2026-06-26,,,,,$NDX,,,,,,,breadth prototype blocked until Norgate package/local database and membership/price probes pass
