active_member_count,date,index_id,member_count,member_symbols_hash,missing_price_count,price_join_coverage_ratio,warning
99,2024-08-05,$NDX,99,d66a63b45e22ff8ef99f59087c6b7886534b91c13b72da2d7a8d3a3b5821a4cd,0,1.0,
99,2024-11-06,$NDX,99,d66a63b45e22ff8ef99f59087c6b7886534b91c13b72da2d7a8d3a3b5821a4cd,0,1.0,
99,2025-04-07,$NDX,99,ab8fb2e3b8391f2b3e12ebc95c2bba2214090853d8815b252f1cbebda06123a8,0,1.0,
100,2025-08-01,$NDX,100,8f5d34125d1df6b5293919868215e0e5be4dcc041fd48533933500fb5fcf5415,0,1.0,
100,2026-01-02,$NDX,100,7c8aafc060f914613d5e8776efc401010664d5d47ad2edcb40c39df3430d100d,0,1.0,
101,2026-06-26,$NDX,101,4d2a9a97cc4fa7c937e0ce8e40ea5308c9472c8f239f0586025cb4cf65eb54be,0,1.0,
