schema_version,source_artifact_path,source_artifact_sha256,date,model_id,trend_state,confidence,known_at,available_at,decision_at,feature_snapshot_hash,research_only,production_effect
growth_tilt_baseline_transition_trace_source.v1,outputs/research_trends/models/first_layer_composer_v2_predictions.csv,c9a8a288f483cb3a37a84383d465e35a5b76ac890e120e5d913468e51a98cde9,2023-02-23,first_layer_composer_v2,neutral,0.478092,2023-02-23,2023-02-23,2023-02-24,81270680688,true,none
growth_tilt_baseline_transition_trace_source.v1,outputs/research_trends/models/first_layer_composer_v2_predictions.csv,c9a8a288f483cb3a37a84383d465e35a5b76ac890e120e5d913468e51a98cde9,2023-02-24,first_layer_composer_v2,defensive,0.433951,2023-02-24,2023-02-24,2023-02-27,357948882314,true,none
growth_tilt_baseline_transition_trace_source.v1,outputs/research_trends/models/first_layer_composer_v2_predictions.csv,c9a8a288f483cb3a37a84383d465e35a5b76ac890e120e5d913468e51a98cde9,2023-02-27,first_layer_composer_v2,neutral,0.441093,2023-02-27,2023-02-27,2023-02-28,546655535154,true,none
growth_tilt_baseline_transition_trace_source.v1,outputs/research_trends/models/first_layer_composer_v2_predictions.csv,c9a8a288f483cb3a37a84383d465e35a5b76ac890e120e5d913468e51a98cde9,2023-09-06,first_layer_composer_v2,constructive,0.444374,2023-09-06,2023-09-06,2023-09-07,776646883934,true,none
growth_tilt_baseline_transition_trace_source.v1,outputs/research_trends/models/first_layer_composer_v2_predictions.csv,c9a8a288f483cb3a37a84383d465e35a5b76ac890e120e5d913468e51a98cde9,2023-09-07,first_layer_composer_v2,defensive,0.440568,2023-09-07,2023-09-07,2023-09-08,851914887061,true,none
